日期,时间,气温℃,地面风速m/s,风向°,地表水平辐射W/m^2,直接辐射W/m^2,散射辐射W/m^2
2021/1/1,0:00:00,-0.9440979,2.646950228,203.8421021,0,0,0
2021/1/1,1:00:00,-1.548712158,2.505930489,202.2107239,0,0,0
2021/1/1,2:00:00,-1.808111572,2.136029046,202.6940918,0,0,0
2021/1/1,3:00:00,-2.139013672,2.063258689,202.6161194,0,0,0
2021/1/1,4:00:00,-2.14041748,1.969471165,196.2893066,0,0,0
2021/1/1,5:00:00,-4.167181396,2.174024317,184.6649017,0,0,0
2021/1/1,6:00:00,-4.303656006,1.851513536,176.7404327,0,0,0
2021/1/1,7:00:00,-4.290808105,1.648795385,165.4680786,0,0,0
2021/1/1,8:00:00,-3.564001465,1.672534358,139.3340912,13.88732639,8.048984352,13.36414241
2021/1/1,9:00:00,-1.59229126,1.2147518,110.468689,104.5070486,147.508524,79.33215374
2021/1/1,10:00:00,0.513757324,1.766358407,90.24024963,223.7852778,318.1126479,129.1296652
2021/1/1,11:00:00,1.230554199,1.804494618,48.0632019,299.8734722,351.7533521,163.8649394
2021/1/1,12:00:00,1.574304199,2.315916281,60.19884109,334.2247569,349.237015,183.3857283
2021/1/1,13:00:00,1.789422607,1.75498403,50.47680664,326.1350694,326.5418339,185.6488992
2021/1/1,14:00:00,1.436364746,1.950815926,52.55802917,123.7575347,18.53507428,116.6824105
2021/1/1,15:00:00,1.239129639,2.177019871,57.33701324,78.18552083,12.84446911,74.46460653
2021/1/1,16:00:00,1.092645264,2.235286067,71.38734436,25.33277778,4.397275793,24.62737052
2021/1/1,17:00:00,0.112145996,1.434973283,102.8378143,2.292083333,0.219262622,2.277831263
2021/1/1,18:00:00,-0.072241211,1.956489968,84.52216339,0,0,0
2021/1/1,19:00:00,-0.050085449,2.857733596,91.37522125,0,0,0
2021/1/1,20:00:00,-0.099401855,2.285492602,101.220993,0,0,0
2021/1/1,21:00:00,-0.075109863,2.284499623,96.85658264,0,0,0
2021/1/1,22:00:00,0.107843018,2.428843325,97.90193939,0,0,0
2021/1/1,23:00:00,0.012078857,2.892531871,100.9171448,0,0,0
2021/1/2,0:00:00,0.521630859,3.137861081,105.4174576,0,0,0
2021/1/2,1:00:00,1.023309326,3.305741935,107.3422623,0,0,0
2021/1/2,2:00:00,1.123376465,2.618786707,110.924736,0,0,0
2021/1/2,3:00:00,1.288446045,1.620347248,116.5848999,0,0,0
2021/1/2,4:00:00,1.133355713,1.046960818,132.8534851,0,0,0
2021/1/2,5:00:00,0.625970459,0.979961592,188.0523834,0,0,0
2021/1/2,6:00:00,0.971154785,1.875104872,256.7185059,0,0,0
2021/1/2,7:00:00,1.953057861,3.426474889,292.4437866,0,0,0
2021/1/2,8:00:00,2.337548828,5.121184268,280.3342285,2.366979167,0.233827036,2.351780409
2021/1/2,9:00:00,4.095574951,5.883260334,273.2648315,50.09625,14.9967507,47.52010629
2021/1/2,10:00:00,6.025109863,6.169673301,266.9820557,132.5663194,34.72198536,122.193382
2021/1/2,11:00:00,7.371514893,6.028605412,261.3244934,177.7488542,37.02576308,163.3865175
2021/1/2,12:00:00,8.212670898,5.746869813,251.4700928,149.3000347,20.94672702,140.2263376
2021/1/2,13:00:00,8.144769287,5.732844327,237.3366394,146.2139583,20.24713192,137.4774705
2021/1/2,14:00:00,7.794580078,5.52804041,229.9586487,171.0823264,35.19230706,157.6052621
2021/1/2,15:00:00,7.202874756,5.18438815,225.750412,193.2091667,204.925551,133.6016179
2021/1/2,16:00:00,5.581323242,4.908100277,225.2980194,124.5365625,345.123416,68.79024851
2021/1/2,17:00:00,3.537438965,4.382862848,231.1119843,18.96586806,15.01244063,17.99005941
2021/1/2,18:00:00,2.710595703,4.453988488,233.1437683,0,0,0
2021/1/2,19:00:00,2.413293457,4.050285399,226.7998199,0,0,0
2021/1/2,20:00:00,1.816583252,3.260378173,219.4591064,0,0,0
2021/1/2,21:00:00,1.107629395,2.602979783,222.9709625,0,0,0
2021/1/2,22:00:00,0.541650391,2.983905272,205.2200775,0,0,0
2021/1/2,23:00:00,0.447320557,3.02733907,202.6586456,0,0,0
2021/1/3,0:00:00,-0.048651123,2.389635027,202.6739502,0,0,0
2021/1/3,1:00:00,-0.120123291,2.55348241,180.4639435,0,0,0
2021/1/3,2:00:00,-0.392401123,2.696489397,164.2533112,0,0,0
2021/1/3,3:00:00,-0.458166504,2.940054628,143.5235138,0,0,0
2021/1/3,4:00:00,-0.562475586,2.86537661,122.5831223,0,0,0
2021/1/3,5:00:00,-1.135626221,3.355156361,120.7642746,0,0,0
2021/1/3,6:00:00,-0.641821289,2.668498492,130.6498718,0,0,0
2021/1/3,7:00:00,-0.595373535,2.272265243,84.57265472,0,0,0
2021/1/3,8:00:00,-0.58963623,2.363055175,105.9157486,4.6590625,0.905960144,4.600175091
2021/1/3,9:00:00,-0.569647217,2.986155092,103.8173065,35.23517361,7.315956588,33.96961768
2021/1/3,10:00:00,-0.270910645,2.98181096,101.1936722,62.72520833,7.707122666,60.4128368
2021/1/3,11:00:00,-0.050085449,3.475414525,96.47241974,101.3760069,11.96076971,96.72031634
2021/1/3,12:00:00,0.463037109,2.858707355,105.9841766,133.3003819,16.59253692,126.0900185
2021/1/3,13:00:00,0.114984131,2.923562407,110.492569,66.35059028,4.143053319,64.55720162
2021/1/3,14:00:00,0.230065918,2.663383489,117.5711365,42.54586806,2.161319892,41.71527885
2021/1/3,15:00:00,0.087854004,2.784610759,129.7171326,33.84194444,2.36601275,33.15069752
2021/1/3,16:00:00,0.134301758,2.911224959,127.6768112,29.81208333,5.918566763,28.84898647
2021/1/3,17:00:00,-0.035803223,2.933546744,138.1706085,4.104791667,0.703224931,4.059082046
2021/1/3,18:00:00,0.114984131,3.189960742,140.5802307,0,0,0
2021/1/3,19:00:00,0.275079346,2.89821591,147.7541199,0,0,0
2021/1/3,20:00:00,0.112145996,2.944673739,143.9262085,0,0,0
2021/1/3,21:00:00,0.142877197,3.031319592,140.6454926,0,0,0
2021/1/3,22:00:00,-0.009344482,2.979673566,140.7071075,0,0,0
2021/1/3,23:00:00,0.06282959,2.754641228,147.5715942,0,0,0
2021/1/4,0:00:00,0.113580322,2.51203699,164.975708,0,0,0
2021/1/4,1:00:00,0.240045166,2.460199102,177.6242981,0,0,0
2021/1/4,2:00:00,0.227197266,2.433972091,174.3566589,0,0,0
2021/1/4,3:00:00,0.203607178,2.460063114,168.6794739,0,0,0
2021/1/4,4:00:00,0.02779541,2.55629015,175.7277527,0,0,0
2021/1/4,5:00:00,0.044244385,2.32183965,182.7819366,0,0,0
2021/1/4,6:00:00,0.355828857,1.961415284,187.2795868,0,0,0
2021/1/4,7:00:00,0.615960693,1.695406408,196.5599213,0,0,0
