HOURBEGINNING_TIME,JCPL
18-DEC-2021 07:00:00,$30.85
18-DEC-2021 06:00:00,$26.21
18-DEC-2021 05:00:00,$28.47
18-DEC-2021 04:00:00,$26.34
18-DEC-2021 03:00:00,$25.53
18-DEC-2021 02:00:00,$24.88
18-DEC-2021 01:00:00,$25.65
18-DEC-2021 00:00:00,$35.84
17-DEC-2021 23:00:00,$31.36
17-DEC-2021 22:00:00,$63.51
17-DEC-2021 21:00:00,$35.62
17-DEC-2021 20:00:00,$40.26
17-DEC-2021 19:00:00,$46.91
17-DEC-2021 18:00:00,$38.99
17-DEC-2021 17:00:00,$39.14
17-DEC-2021 16:00:00,$43.04
17-DEC-2021 15:00:00,$24.93
17-DEC-2021 14:00:00,$34.47
17-DEC-2021 13:00:00,$27.07
17-DEC-2021 12:00:00,$32.25
17-DEC-2021 11:00:00,$25.17
17-DEC-2021 10:00:00,$36.13
17-DEC-2021 09:00:00,$40.85
17-DEC-2021 08:00:00,$42.55
17-DEC-2021 07:00:00,$59.64
17-DEC-2021 06:00:00,$28.40
17-DEC-2021 05:00:00,$34.21
17-DEC-2021 04:00:00,$25.83
17-DEC-2021 03:00:00,$34.48
17-DEC-2021 02:00:00,$28.06
17-DEC-2021 01:00:00,$31.69
17-DEC-2021 00:00:00,$33.48
16-DEC-2021 23:00:00,$24.60
16-DEC-2021 22:00:00,$24.14
16-DEC-2021 21:00:00,$29.60
16-DEC-2021 20:00:00,$79.03
16-DEC-2021 19:00:00,$38.09
16-DEC-2021 18:00:00,$40.10
16-DEC-2021 17:00:00,$63.60
16-DEC-2021 16:00:00,$42.76
16-DEC-2021 15:00:00,$26.23
16-DEC-2021 14:00:00,$25.30
16-DEC-2021 13:00:00,$24.42
16-DEC-2021 12:00:00,$27.46
16-DEC-2021 11:00:00,$25.28
16-DEC-2021 10:00:00,$25.35
16-DEC-2021 09:00:00,$24.29
16-DEC-2021 08:00:00,$32.43
16-DEC-2021 07:00:00,$27.21
16-DEC-2021 06:00:00,$23.87
16-DEC-2021 05:00:00,$19.88
16-DEC-2021 04:00:00,$15.58
16-DEC-2021 03:00:00,$14.09
16-DEC-2021 02:00:00,$16.01
16-DEC-2021 01:00:00,$15.49
16-DEC-2021 00:00:00,$21.17
15-DEC-2021 23:00:00,$20.57
15-DEC-2021 22:00:00,$23.62
15-DEC-2021 21:00:00,$27.94
15-DEC-2021 20:00:00,$32.98
15-DEC-2021 19:00:00,$33.21
15-DEC-2021 18:00:00,$31.63
15-DEC-2021 17:00:00,$33.98
15-DEC-2021 16:00:00,$31.15
15-DEC-2021 15:00:00,$27.00
15-DEC-2021 14:00:00,$25.98
15-DEC-2021 13:00:00,$27.55
15-DEC-2021 12:00:00,$27.95
15-DEC-2021 11:00:00,$28.33
15-DEC-2021 10:00:00,$28.91
15-DEC-2021 09:00:00,$27.28
15-DEC-2021 08:00:00,$27.58
15-DEC-2021 07:00:00,$28.10
15-DEC-2021 06:00:00,$27.07
15-DEC-2021 05:00:00,$25.52
15-DEC-2021 04:00:00,$31.28
15-DEC-2021 03:00:00,$27.12
15-DEC-2021 02:00:00,$27.13
15-DEC-2021 01:00:00,$29.10
15-DEC-2021 00:00:00,$26.10
14-DEC-2021 23:00:00,$25.05
14-DEC-2021 22:00:00,$26.57
14-DEC-2021 21:00:00,$32.06
14-DEC-2021 20:00:00,$38.87
14-DEC-2021 19:00:00,$34.62
14-DEC-2021 18:00:00,$31.67
14-DEC-2021 17:00:00,$33.35
14-DEC-2021 16:00:00,$27.71
14-DEC-2021 15:00:00,$28.75
14-DEC-2021 14:00:00,$26.90
14-DEC-2021 13:00:00,$25.40
14-DEC-2021 12:00:00,$26.70
14-DEC-2021 11:00:00,$26.76
14-DEC-2021 10:00:00,$27.81
14-DEC-2021 09:00:00,$28.30
14-DEC-2021 08:00:00,$34.71
14-DEC-2021 07:00:00,$25.68
14-DEC-2021 06:00:00,$37.00
14-DEC-2021 05:00:00,$26.06
14-DEC-2021 04:00:00,$26.05
14-DEC-2021 03:00:00,$26.23
14-DEC-2021 02:00:00,$21.21
14-DEC-2021 01:00:00,$22.11
14-DEC-2021 00:00:00,$27.72
13-DEC-2021 23:00:00,$41.78
13-DEC-2021 22:00:00,$23.12
13-DEC-2021 21:00:00,$31.23
13-DEC-2021 20:00:00,$25.74
13-DEC-2021 19:00:00,$32.05
13-DEC-2021 18:00:00,$52.38
13-DEC-2021 17:00:00,$53.86
13-DEC-2021 16:00:00,$39.97
13-DEC-2021 15:00:00,$30.92
13-DEC-2021 14:00:00,$27.43
13-DEC-2021 13:00:00,$29.37
13-DEC-2021 12:00:00,$29.86
13-DEC-2021 11:00:00,$32.58
13-DEC-2021 10:00:00,$44.27
13-DEC-2021 09:00:00,$31.50
13-DEC-2021 08:00:00,$43.19
13-DEC-2021 07:00:00,$39.60
13-DEC-2021 06:00:00,$36.33
13-DEC-2021 05:00:00,$4.31
13-DEC-2021 04:00:00,$10.02
13-DEC-2021 03:00:00,$20.40
13-DEC-2021 02:00:00,$24.67
13-DEC-2021 01:00:00,$22.33
13-DEC-2021 00:00:00,$24.82
12-DEC-2021 23:00:00,$25.23
12-DEC-2021 22:00:00,$29.59
12-DEC-2021 21:00:00,$48.65
12-DEC-2021 20:00:00,$24.86
12-DEC-2021 19:00:00,$27.77
12-DEC-2021 18:00:00,$39.76
12-DEC-2021 17:00:00,$25.57
12-DEC-2021 16:00:00,$18.07
12-DEC-2021 15:00:00,$16.69
12-DEC-2021 14:00:00,$16.83
12-DEC-2021 13:00:00,$16.45
12-DEC-2021 12:00:00,$15.88
12-DEC-2021 11:00:00,$16.47
12-DEC-2021 10:00:00,$16.02
12-DEC-2021 09:00:00,$16.65
12-DEC-2021 08:00:00,$19.88
12-DEC-2021 07:00:00,$20.18
12-DEC-2021 06:00:00,$19.62
12-DEC-2021 05:00:00,$20.12
12-DEC-2021 04:00:00,$21.24
12-DEC-2021 03:00:00,$20.68
12-DEC-2021 02:00:00,$20.52
12-DEC-2021 01:00:00,$20.93
12-DEC-2021 00:00:00,$23.61
11-DEC-2021 23:00:00,$20.24
11-DEC-2021 22:00:00,$18.82
11-DEC-2021 21:00:00,$19.09
11-DEC-2021 20:00:00,$18.63
11-DEC-2021 19:00:00,$16.99
11-DEC-2021 18:00:00,$18.41
11-DEC-2021 17:00:00,$25.03
11-DEC-2021 16:00:00,$24.37
11-DEC-2021 15:00:00,$23.01
11-DEC-2021 14:00:00,$26.18
11-DEC-2021 13:00:00,$25.20
11-DEC-2021 12:00:00,$28.31
11-DEC-2021 11:00:00,$30.18
11-DEC-2021 10:00:00,$33.73
11-DEC-2021 09:00:00,$34.51
11-DEC-2021 08:00:00,$28.56
11-DEC-2021 07:00:00,$22.76
11-DEC-2021 06:00:00,$20.81
11-DEC-2021 05:00:00,$17.20
11-DEC-2021 04:00:00,$14.88
11-DEC-2021 03:00:00,$19.39
11-DEC-2021 02:00:00,$19.50
11-DEC-2021 01:00:00,$20.79
11-DEC-2021 00:00:00,$21.39
10-DEC-2021 23:00:00,$22.74
10-DEC-2021 22:00:00,$25.92
10-DEC-2021 21:00:00,$26.19
10-DEC-2021 20:00:00,$26.45
10-DEC-2021 19:00:00,$27.96
10-DEC-2021 18:00:00,$31.85
10-DEC-2021 17:00:00,$55.17
10-DEC-2021 16:00:00,$32.11
10-DEC-2021 15:00:00,$22.22
10-DEC-2021 14:00:00,$24.74
10-DEC-2021 13:00:00,$33.14
10-DEC-2021 12:00:00,$36.20
10-DEC-2021 11:00:00,$38.48
10-DEC-2021 10:00:00,$54.81
10-DEC-2021 09:00:00,$56.09
10-DEC-2021 08:00:00,$70.80
10-DEC-2021 07:00:00,$47.77
10-DEC-2021 06:00:00,$30.57
10-DEC-2021 05:00:00,$27.16
10-DEC-2021 04:00:00,$30.06
10-DEC-2021 03:00:00,$27.59
10-DEC-2021 02:00:00,$28.16
10-DEC-2021 01:00:00,$34.10
10-DEC-2021 00:00:00,$41.59
09-DEC-2021 23:00:00,$33.68
09-DEC-2021 22:00:00,$29.58
09-DEC-2021 21:00:00,$40.91
09-DEC-2021 20:00:00,$36.10
09-DEC-2021 19:00:00,$40.48
09-DEC-2021 18:00:00,$44.69
09-DEC-2021 17:00:00,$43.26
09-DEC-2021 16:00:00,$36.07
09-DEC-2021 15:00:00,$36.97
09-DEC-2021 14:00:00,$42.31
09-DEC-2021 13:00:00,$40.22
09-DEC-2021 12:00:00,$53.88
09-DEC-2021 11:00:00,$33.92
09-DEC-2021 10:00:00,$34.76
09-DEC-2021 09:00:00,$41.00
09-DEC-2021 08:00:00,$45.89
09-DEC-2021 07:00:00,$49.86
09-DEC-2021 06:00:00,$106.34
09-DEC-2021 05:00:00,$39.49
09-DEC-2021 04:00:00,$38.91
09-DEC-2021 03:00:00,$36.30
09-DEC-2021 02:00:00,$35.14
09-DEC-2021 01:00:00,$34.84
09-DEC-2021 00:00:00,$51.45
08-DEC-2021 23:00:00,$47.41
08-DEC-2021 22:00:00,$47.50
08-DEC-2021 21:00:00,$44.64
08-DEC-2021 20:00:00,$44.78
08-DEC-2021 19:00:00,$37.78
08-DEC-2021 18:00:00,$42.86
08-DEC-2021 17:00:00,$100.43
08-DEC-2021 16:00:00,$39.42
08-DEC-2021 15:00:00,$40.08
08-DEC-2021 14:00:00,$37.09
08-DEC-2021 13:00:00,$36.94
08-DEC-2021 12:00:00,$34.85
08-DEC-2021 11:00:00,$35.61
08-DEC-2021 10:00:00,$46.56
08-DEC-2021 09:00:00,$429.12
08-DEC-2021 08:00:00,$20.27
08-DEC-2021 07:00:00,$62.78
08-DEC-2021 06:00:00,$64.19
08-DEC-2021 05:00:00,$29.88
08-DEC-2021 04:00:00,$26.98
08-DEC-2021 03:00:00,$28.19
08-DEC-2021 02:00:00,$33.76
08-DEC-2021 01:00:00,$34.30
08-DEC-2021 00:00:00,$35.18
07-DEC-2021 23:00:00,$33.98
07-DEC-2021 22:00:00,$43.15
07-DEC-2021 21:00:00,$78.53
07-DEC-2021 20:00:00,$40.53
07-DEC-2021 19:00:00,$63.62
07-DEC-2021 18:00:00,$88.60
07-DEC-2021 17:00:00,$168.74
07-DEC-2021 16:00:00,$74.52
07-DEC-2021 15:00:00,$90.52
07-DEC-2021 14:00:00,$34.78
07-DEC-2021 13:00:00,$38.59
07-DEC-2021 12:00:00,$37.22
07-DEC-2021 11:00:00,$30.55
07-DEC-2021 10:00:00,$60.71
07-DEC-2021 09:00:00,$38.48
07-DEC-2021 08:00:00,$56.99
07-DEC-2021 07:00:00,$48.61
07-DEC-2021 06:00:00,$37.97
07-DEC-2021 05:00:00,$25.96
07-DEC-2021 04:00:00,$22.72
07-DEC-2021 03:00:00,$9.63
07-DEC-2021 02:00:00,$14.71
07-DEC-2021 01:00:00,$7.12
07-DEC-2021 00:00:00,$13.32
06-DEC-2021 23:00:00,$27.43
06-DEC-2021 22:00:00,$27.36
06-DEC-2021 21:00:00,$25.02
06-DEC-2021 20:00:00,$27.65
06-DEC-2021 19:00:00,$27.59
06-DEC-2021 18:00:00,$29.98
06-DEC-2021 17:00:00,$68.09
06-DEC-2021 16:00:00,$36.26
06-DEC-2021 15:00:00,$29.63
06-DEC-2021 14:00:00,$30.64
06-DEC-2021 13:00:00,$32.54
06-DEC-2021 12:00:00,$30.89
06-DEC-2021 11:00:00,$33.48
06-DEC-2021 10:00:00,$35.43
06-DEC-2021 09:00:00,$32.32
06-DEC-2021 08:00:00,$32.64
06-DEC-2021 07:00:00,$28.66
06-DEC-2021 06:00:00,$35.65
06-DEC-2021 05:00:00,$23.02
06-DEC-2021 04:00:00,$21.44
06-DEC-2021 03:00:00,$9.73
06-DEC-2021 02:00:00,$.23
06-DEC-2021 01:00:00,$23.93
06-DEC-2021 00:00:00,$23.78
05-DEC-2021 23:00:00,$25.45
05-DEC-2021 22:00:00,$26.57
05-DEC-2021 21:00:00,$27.19
05-DEC-2021 20:00:00,$28.27
05-DEC-2021 19:00:00,$30.83
05-DEC-2021 18:00:00,$34.46
05-DEC-2021 17:00:00,$36.57
05-DEC-2021 16:00:00,$31.49
05-DEC-2021 15:00:00,$29.69
05-DEC-2021 14:00:00,$29.85
05-DEC-2021 13:00:00,$31.83
05-DEC-2021 12:00:00,$28.13
05-DEC-2021 11:00:00,$26.93
05-DEC-2021 10:00:00,$27.01
05-DEC-2021 09:00:00,$26.25
05-DEC-2021 08:00:00,$31.50
05-DEC-2021 07:00:00,$29.32
05-DEC-2021 06:00:00,$29.16
05-DEC-2021 05:00:00,$27.21
05-DEC-2021 04:00:00,$28.09
05-DEC-2021 03:00:00,$31.60
05-DEC-2021 02:00:00,$31.91
05-DEC-2021 01:00:00,$28.26
05-DEC-2021 00:00:00,$31.12
04-DEC-2021 23:00:00,$39.02
04-DEC-2021 22:00:00,$43.20
04-DEC-2021 21:00:00,$34.00
04-DEC-2021 20:00:00,$29.17
04-DEC-2021 19:00:00,$28.88
04-DEC-2021 18:00:00,$32.96
04-DEC-2021 17:00:00,$52.01
04-DEC-2021 16:00:00,$71.48
04-DEC-2021 15:00:00,$31.64
04-DEC-2021 14:00:00,$30.66
04-DEC-2021 13:00:00,$29.30
04-DEC-2021 12:00:00,$31.36
04-DEC-2021 11:00:00,$27.41
04-DEC-2021 10:00:00,$30.44
04-DEC-2021 09:00:00,$33.41
04-DEC-2021 08:00:00,$46.35
04-DEC-2021 07:00:00,$47.04
04-DEC-2021 06:00:00,$35.01
04-DEC-2021 05:00:00,$55.39
04-DEC-2021 04:00:00,$40.85
04-DEC-2021 03:00:00,$37.66
04-DEC-2021 02:00:00,$35.33
04-DEC-2021 01:00:00,$37.73
04-DEC-2021 00:00:00,$36.05
03-DEC-2021 23:00:00,$32.08
03-DEC-2021 22:00:00,$35.44
03-DEC-2021 21:00:00,$36.11
03-DEC-2021 20:00:00,$39.91
03-DEC-2021 19:00:00,$39.67
03-DEC-2021 18:00:00,$44.50
03-DEC-2021 17:00:00,$50.68
03-DEC-2021 16:00:00,$45.94
03-DEC-2021 15:00:00,$39.82
03-DEC-2021 14:00:00,$39.56
03-DEC-2021 13:00:00,$35.44
03-DEC-2021 12:00:00,$33.97
03-DEC-2021 11:00:00,$40.58
03-DEC-2021 10:00:00,$40.25
03-DEC-2021 09:00:00,$33.19
03-DEC-2021 08:00:00,$34.41
03-DEC-2021 07:00:00,$34.57
03-DEC-2021 06:00:00,$41.75
03-DEC-2021 05:00:00,$32.79
03-DEC-2021 04:00:00,$29.08
03-DEC-2021 03:00:00,$27.19
03-DEC-2021 02:00:00,$27.41
03-DEC-2021 01:00:00,$29.90
03-DEC-2021 00:00:00,$29.94
02-DEC-2021 23:00:00,$28.25
02-DEC-2021 22:00:00,$30.51
02-DEC-2021 21:00:00,$42.86
02-DEC-2021 20:00:00,$38.77
02-DEC-2021 19:00:00,$31.51
02-DEC-2021 18:00:00,$38.54
02-DEC-2021 17:00:00,$39.55
02-DEC-2021 16:00:00,$66.67
02-DEC-2021 15:00:00,$30.59
02-DEC-2021 14:00:00,$34.73
02-DEC-2021 13:00:00,$30.14
02-DEC-2021 12:00:00,$32.92
02-DEC-2021 11:00:00,$30.99
02-DEC-2021 10:00:00,$30.65
02-DEC-2021 09:00:00,$31.14
02-DEC-2021 08:00:00,$30.08
02-DEC-2021 07:00:00,$33.08
02-DEC-2021 06:00:00,$27.42
02-DEC-2021 05:00:00,$28.68
02-DEC-2021 04:00:00,$28.23
02-DEC-2021 03:00:00,$28.04
02-DEC-2021 02:00:00,$28.22
02-DEC-2021 01:00:00,$28.43
02-DEC-2021 00:00:00,$28.95
01-DEC-2021 23:00:00,$28.75
01-DEC-2021 22:00:00,$31.04
01-DEC-2021 21:00:00,$33.17
01-DEC-2021 20:00:00,$36.79
01-DEC-2021 19:00:00,$41.53
01-DEC-2021 18:00:00,$49.44
01-DEC-2021 17:00:00,$51.46
01-DEC-2021 16:00:00,$59.17
01-DEC-2021 15:00:00,$41.82
01-DEC-2021 14:00:00,$45.79
01-DEC-2021 13:00:00,$43.98
01-DEC-2021 12:00:00,$42.54
01-DEC-2021 11:00:00,$48.51
01-DEC-2021 10:00:00,$44.58
