HOURBEGINNING_TIME,JCPL
01-MAY-2021 23:00:00,$17.09
01-MAY-2021 22:00:00,$18.03
01-MAY-2021 21:00:00,$22.62
01-MAY-2021 20:00:00,$57.77
01-MAY-2021 19:00:00,$19.95
01-MAY-2021 18:00:00,$19.86
01-MAY-2021 17:00:00,$13.59
01-MAY-2021 16:00:00,$12.64
01-MAY-2021 15:00:00,$12.66
01-MAY-2021 14:00:00,$12.65
01-MAY-2021 13:00:00,$14.10
01-MAY-2021 12:00:00,$15.08
01-MAY-2021 11:00:00,$14.43
01-MAY-2021 10:00:00,$15.00
01-MAY-2021 09:00:00,$16.71
01-MAY-2021 08:00:00,$16.68
01-MAY-2021 07:00:00,$19.38
01-MAY-2021 06:00:00,$19.33
01-MAY-2021 05:00:00,$19.04
01-MAY-2021 04:00:00,$18.27
01-MAY-2021 03:00:00,$17.92
01-MAY-2021 02:00:00,$17.24
01-MAY-2021 01:00:00,$17.50
01-MAY-2021 00:00:00,$15.19
30-APR-2021 23:00:00,$18.71
30-APR-2021 22:00:00,$20.76
30-APR-2021 21:00:00,$36.26
30-APR-2021 20:00:00,$29.08
30-APR-2021 19:00:00,$23.44
30-APR-2021 18:00:00,$24.52
30-APR-2021 17:00:00,$25.53
30-APR-2021 16:00:00,$20.47
30-APR-2021 15:00:00,$16.95
30-APR-2021 14:00:00,$22.57
30-APR-2021 13:00:00,$24.26
30-APR-2021 12:00:00,$23.16
30-APR-2021 11:00:00,$23.56
30-APR-2021 10:00:00,$23.15
30-APR-2021 09:00:00,$22.02
30-APR-2021 08:00:00,$19.81
30-APR-2021 07:00:00,$21.26
30-APR-2021 06:00:00,$21.42
30-APR-2021 05:00:00,$19.63
30-APR-2021 04:00:00,$18.46
30-APR-2021 03:00:00,$18.03
30-APR-2021 02:00:00,$17.65
30-APR-2021 01:00:00,$18.66
30-APR-2021 00:00:00,$19.15
29-APR-2021 23:00:00,$20.47
29-APR-2021 22:00:00,$21.11
29-APR-2021 21:00:00,$20.24
29-APR-2021 20:00:00,$20.88
29-APR-2021 19:00:00,$21.48
29-APR-2021 18:00:00,$24.66
29-APR-2021 17:00:00,$24.36
29-APR-2021 16:00:00,$19.32
29-APR-2021 15:00:00,$21.60
29-APR-2021 14:00:00,$20.49
29-APR-2021 13:00:00,$20.80
29-APR-2021 12:00:00,$20.02
29-APR-2021 11:00:00,$22.84
29-APR-2021 10:00:00,$23.65
29-APR-2021 09:00:00,$24.72
29-APR-2021 08:00:00,$22.99
29-APR-2021 07:00:00,$20.00
29-APR-2021 06:00:00,$25.47
29-APR-2021 05:00:00,$18.08
29-APR-2021 04:00:00,$17.62
29-APR-2021 03:00:00,$18.03
29-APR-2021 02:00:00,$17.85
29-APR-2021 01:00:00,$19.18
29-APR-2021 00:00:00,$21.89
28-APR-2021 23:00:00,$19.92
28-APR-2021 22:00:00,$20.62
28-APR-2021 21:00:00,$22.24
28-APR-2021 20:00:00,$32.81
28-APR-2021 19:00:00,$26.67
28-APR-2021 18:00:00,$25.15
28-APR-2021 17:00:00,$25.09
28-APR-2021 16:00:00,$20.95
